variant,batch_index,source_index,objective,parameter_group,pair,cosine,left_norm,right_norm,left_targets,right_targets,left_loss,right_loss
full_control,2,3,localization,deep_backbone,small-medium,-0.31270071864128113,26.47873306274414,16.11908531188965,133,52,19.990928649902344,14.08411955833435
full_control,2,3,localization,deep_backbone,small-large,-0.02541995793581009,26.47873306274414,180.03115844726562,133,1,19.990928649902344,459.0829887390137
full_control,2,3,localization,deep_backbone,medium-large,-0.05822591111063957,16.11908531188965,180.03115844726562,52,1,14.08411955833435,459.0829887390137
full_control,2,3,localization,neck,small-medium,-0.17126379907131195,21.798574447631836,14.647289276123047,133,52,19.990928649902344,14.08411955833435
full_control,2,3,localization,neck,small-large,-0.012604853138327599,21.798574447631836,188.68885803222656,133,1,19.990928649902344,459.0829887390137
full_control,2,3,localization,neck,medium-large,-0.1440087854862213,14.647289276123047,188.68885803222656,52,1,14.08411955833435,459.0829887390137
full_control,2,3,total,shared_features,small-medium,0.5200347900390625,21.234169006347656,33.726871490478516,133,52,19.990928649902344,14.08411955833435
full_control,2,3,total,shared_features,small-large,0.6798696517944336,21.234169006347656,3648.735107421875,133,1,19.990928649902344,459.0829887390137
full_control,2,3,total,shared_features,medium-large,0.9353790879249573,33.726871490478516,3648.735107421875,52,1,14.08411955833435,459.0829887390137
full_control,2,3,total,shared_predictors,small-medium,0.83766108751297,13.185127258300781,17.11338996887207,133,52,19.990928649902344,14.08411955833435
full_control,2,3,total,shared_predictors,small-large,0.8663763403892517,13.185127258300781,2115.9443359375,133,1,19.990928649902344,459.0829887390137
full_control,2,3,total,shared_predictors,medium-large,0.9757200479507446,17.11338996887207,2115.9443359375,52,1,14.08411955833435,459.0829887390137
full_control,2,3,total,deep_backbone,small-medium,-0.06448516994714737,51.34882736206055,45.525936126708984,133,52,19.990928649902344,14.08411955833435
full_control,2,3,total,deep_backbone,small-large,0.13654732704162598,51.34882736206055,3673.4072265625,133,1,19.990928649902344,459.0829887390137
full_control,2,3,total,deep_backbone,medium-large,0.781258761882782,45.525936126708984,3673.4072265625,52,1,14.08411955833435,459.0829887390137
full_control,2,3,total,neck,small-medium,0.2151372879743576,38.354156494140625,45.51845169067383,133,52,19.990928649902344,14.08411955833435
full_control,2,3,total,neck,small-large,0.4366520643234253,38.354156494140625,4168.36279296875,133,1,19.990928649902344,459.0829887390137
full_control,2,3,total,neck,medium-large,0.8191186785697937,45.51845169067383,4168.36279296875,52,1,14.08411955833435,459.0829887390137
full_control,3,19,localization,shared_features,small-medium,0.1910526007413864,5.6976470947265625,5.567322731018066,313,25,18.284865856170654,26.460862159729004
full_control,3,19,localization,shared_features,small-large,-0.011485382914543152,5.6976470947265625,11.114631652832031,313,3,18.284865856170654,187.768903195858
full_control,3,19,localization,shared_features,medium-large,-0.13286089897155762,5.567322731018066,11.114631652832031,25,3,26.460862159729004,187.768903195858
full_control,3,19,localization,shared_predictors,small-medium,0.1840706169605255,3.6550724506378174,3.4947359561920166,313,25,18.284865856170654,26.460862159729004
full_control,3,19,localization,shared_predictors,small-large,0.05363974720239639,3.6550724506378174,6.263842582702637,313,3,18.284865856170654,187.768903195858
full_control,3,19,localization,shared_predictors,medium-large,0.24699941277503967,3.4947359561920166,6.263842582702637,25,3,26.460862159729004,187.768903195858
full_control,3,19,localization,deep_backbone,small-medium,0.029230335727334023,12.424785614013672,14.197418212890625,313,25,18.284865856170654,26.460862159729004
full_control,3,19,localization,deep_backbone,small-large,-0.02651679515838623,12.424785614013672,41.59868240356445,313,3,18.284865856170654,187.768903195858
full_control,3,19,localization,deep_backbone,medium-large,-0.0575827993452549,14.197418212890625,41.59868240356445,25,3,26.460862159729004,187.768903195858
full_control,3,19,localization,neck,small-medium,0.020539237186312675,11.598146438598633,15.313028335571289,313,25,18.284865856170654,26.460862159729004
full_control,3,19,localization,neck,small-large,-0.03233226016163826,11.598146438598633,42.52924346923828,313,3,18.284865856170654,187.768903195858
full_control,3,19,localization,neck,medium-large,-0.1084970012307167,15.313028335571289,42.52924346923828,25,3,26.460862159729004,187.768903195858
